Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Arlington,Arlington-2018,0,Fully,2,1,15,110000,270000,Amodel,0,0,0,49.93,3357.8,1108.1,1477.4,1846.8,119.6,57.3,176.8,931.2,1300.6,1670,0
2018,Arlington,Arlington-2018,0,Fully,8,1,15,170000,420000,Amodel,0,0,0,59.57,4006.1,1322,1762.7,2203.3,186,57.3,243.3,1078.7,1519.4,1960.1,0
2018,Arlington,Arlington-2018,0,Fully,2,3,15,110000,270000,Amodel,0,0,0,64.18,4316.1,1424.3,1899.1,2373.9,119.6,57.3,176.8,1247.5,1722.3,2197,0
2018,Arlington,Arlington-2018,0,Fully,5,3,15,140000,345000,Amodel,0,0,0,78.34,5268.4,1738.6,2318.1,2897.6,152.8,57.3,210,1528.5,2108,2687.6,0
2018,Arlington,Arlington-2018,0,Fully,8,3,15,170000,420000,Amodel,0,0,0,81.9,5507.8,1817.6,2423.4,3029.3,186,57.3,243.3,1574.3,2180.2,2786,0
2018,Arlington,Arlington-2018,0,Fully,11,3,15,200000,495000,Amodel,0,0,0,83.35,5605.3,1849.7,2466.3,3082.9,219.2,57.3,276.5,1573.3,2189.9,2806.4,0
2018,Arlington,Arlington-2018,0,Fully,5,4,15,140000,345000,Amodel,0,0,0,85.2,5729.7,1890.8,2521.1,3151.3,152.8,57.3,210,1680.8,2311,2941.3,0
2018,Arlington,Arlington-2018,0,Fully,5,2,15,140000,345000,Amodel,0,0,0,87.34,5873.6,1938.3,2584.4,3230.5,152.8,57.3,210,1728.2,2374.3,3020.4,0
2018,Arlington,Arlington-2018,0,Fully,8,4,15,170000,420000,Amodel,0,0,0,87.81,5905.2,1948.7,2598.3,3247.9,186,57.3,243.3,1705.5,2355,3004.6,0
2018,Arlington,Arlington-2018,0,Fully,2,4,15,110000,270000,Amodel,0,0,0,89.53,6020.9,1986.9,2649.2,3311.5,119.6,57.3,176.8,1810.1,2472.4,3134.7,0
2018,Arlington,Arlington-2018,0,Fully,5,1,15,140000,345000,Amodel,0,0,0,92,6187,2041.7,2722.3,3402.9,152.8,57.3,210,1831.7,2512.2,3192.8,0
2018,Arlington,Arlington-2018,0,Fully,2,2,15,110000,270000,Amodel,0,0,0,92.39,6213.2,2050.4,2733.8,3417.3,119.6,57.3,176.8,1873.5,2557,3240.4,0
