Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI,DS,DIX,Ybu,Ykg
2019,Hancock,14,Full+,101,15,1,30,110,AR1R3,0,0,0,78.06,5249.535
2019,Hancock,14,Full+,102,14,1,30,110,Amodel,0,0,0,84.6,5689.35
2019,Hancock,14,Full+,103,13,1,30,110,NT,4.19,2.43,3.39,82.43,5543.4175
2019,Hancock,14,Full+,104,24,1,30,200,AR1R3,3.67,2.6,3.18,87.72,5899.17
2019,Hancock,14,Full+,105,23,1,30,200,Amodel,8.98,3,8.98,72.71,4889.7475
2019,Hancock,14,Full+,106,22,1,30,200,NT,6.69,2.91,6.49,75.99,5110.3275
2019,Hancock,14,Full+,107,16,1,30,140,NT,8.72,2.25,6.54,72.5,4875.625
2019,Hancock,14,Full+,108,18,1,30,140,AR1R3,7.31,3,7.31,74.46,5007.435
2019,Hancock,14,Full+,109,17,1,30,140,Amodel,0.42,3,0.42,73.95,4973.1375
2019,Hancock,14,Full+,110,21,1,30,170,AR1R3,5.94,3,5.94,71.42,4802.995
2019,Hancock,14,Full+,111,20,1,30,170,Amodel,7.25,2.75,6.64,76.39,5137.2275
2019,Hancock,14,Full+,112,19,1,30,170,NT,14.73,2.59,12.71,73.35,4932.7875
2019,Hancock,14,Full+,113,12,1,15,200,AR1R3,0.55,3,0.55,89.66,6029.635
2019,Hancock,14,Full+,114,10,1,15,200,NT,3.83,2.71,3.46,89.02,5986.595
2019,Hancock,14,Full+,115,11,1,15,200,Amodel,1.33,3,1.33,96,6456
2019,Hancock,14,Full+,116,4,1,15,140,NT,5.59,2.5,4.66,77.81,5232.7225
2019,Hancock,14,Full+,117,6,1,15,140,AR1R3,0.72,1,0.24,79.94,5375.965
2019,Hancock,14,Full+,118,5,1,15,140,Amodel,2.22,2,1.48,85.86,5774.085
2019,Hancock,14,Full+,119,3,1,15,110,AR1R3,0.91,1,0.3,78.93,5308.0425
2019,Hancock,14,Full+,120,1,1,15,110,NT,4.5,3,4.5,79.67,5357.8075
2019,Hancock,14,Full+,121,2,1,15,110,Amodel,0.89,3,0.89,74.56,5014.16
2019,Hancock,14,Full+,122,7,1,15,170,NT,17.34,2.78,16.06,85.42,5744.495
2019,Hancock,14,Full+,123,9,1,15,170,AR1R3,3.85,1.67,2.14,86.25,5800.3125
2019,Hancock,14,Full+,124,8,1,15,170,Amodel,9.52,2.2,6.98,89.41,6012.8225
2019,Hancock,14,Full+,201,9,2,15,170,AR1R3,0.68,3,0.68,79.12,5320.82
2019,Hancock,14,Full+,202,8,2,15,170,Amodel,5.71,3,5.71,87.65,5894.4625
2019,Hancock,14,Full+,203,7,2,15,170,NT,10.53,2.67,9.36,70.85,4764.6625
2019,Hancock,14,Full+,204,2,2,15,110,Amodel,2.88,3,2.88,78.72,5293.92
2019,Hancock,14,Full+,205,3,2,15,110,AR1R3,4.6,3,4.6,84.11,5656.3975
2019,Hancock,14,Full+,206,1,2,15,110,NT,0,2.5,0,80.62,5421.695
2019,Hancock,14,Full+,207,12,2,15,200,AR1R3,2.74,3,2.74,86.66,5827.885
2019,Hancock,14,Full+,208,11,2,15,200,Amodel,3.16,3,3.16,80.5,5413.625
2019,Hancock,14,Full+,209,10,2,15,200,NT,1.21,2,0.81,71.85,4831.9125
2019,Hancock,14,Full+,210,5,2,15,140,Amodel,9.91,2.6,8.59,68.58,4612.005
2019,Hancock,14,Full+,211,6,2,15,140,AR1R3,11.67,3,11.67,69.44,4669.84
2019,Hancock,14,Full+,212,4,2,15,140,NT,29.09,3,29.09,73.9,4969.775
2019,Hancock,14,Full+,213,24,2,30,200,AR1R3,0,0,0,71.75,4825.1875
2019,Hancock,14,Full+,214,23,2,30,200,Amodel,0,0,0,83.21,5595.8725
2019,Hancock,14,Full+,215,22,2,30,200,NT,2.27,3,2.27,78.72,5293.92
2019,Hancock,14,Full+,216,15,2,30,110,AR1R3,0.48,3,0.48,75.8,5097.55
2019,Hancock,14,Full+,217,14,2,30,110,Amodel,1.37,3,1.37,78.25,5262.3125
2019,Hancock,14,Full+,218,13,2,30,110,NT,3.91,2.75,3.59,67.83,4561.5675
2019,Hancock,14,Full+,219,18,2,30,140,AR1R3,1.59,1.67,0.88,80.03,5382.0175
2019,Hancock,14,Full+,220,17,2,30,140,Amodel,0,0,0,68.41,4600.5725
2019,Hancock,14,Full+,221,16,2,30,140,NT,0.39,3,0.39,67.14,4515.165
2019,Hancock,14,Full+,222,19,2,30,170,NT,5.78,2.8,5.4,62.33,4191.6925
2019,Hancock,14,Full+,223,21,2,30,170,AR1R3,3.95,2.71,3.57,69.24,4656.39
2019,Hancock,14,Full+,224,20,2,30,170,Amodel,2.76,2.2,2.02,76.93,5173.5425
2019,Hancock,14,Full+,301,12,3,15,200,AR1R3,1.96,3,1.96,77.9,5238.775
2019,Hancock,14,Full+,302,10,3,15,200,NT,1.7,3,1.7,83.44,5611.34
