Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2018,Arlington,3,Full-,101,5,1,15,140,Amodel,0,0,0,92,6187
2018,Arlington,3,Full-,102,4,1,15,140,NT,0,0,0,79,5312.75
2018,Arlington,3,Full-,103,6,1,15,140,AR1R3,0,0,0,82.87,5573.0075
2018,Arlington,3,Full-,104,11,1,15,200,Amodel,0,0,0,93.06,6258.285
2018,Arlington,3,Full-,105,10,1,15,200,NT,0,0,0,81.78,5499.705
2018,Arlington,3,Full-,106,12,1,15,200,AR1R3,0,0,0,81.93,5509.7925
2018,Arlington,3,Full-,107,3,1,15,110,AR1R3,0,0,0,64.55,4340.9875
2018,Arlington,3,Full-,108,2,1,15,110,Amodel,0,0,0,49.93,3357.7925
2018,Arlington,3,Full-,109,1,1,15,110,NT,0,0,0,50.73,3411.5925
2018,Arlington,3,Full-,110,8,1,15,170,Amodel,0,0,0,59.57,4006.0825
2018,Arlington,3,Full-,111,9,1,15,170,AR1R3,0,0,0,66.96,4503.06
2018,Arlington,3,Full-,112,7,1,15,170,NT,0,0,0,66.67,4483.5575
2018,Arlington,3,Full-,113,22,1,30,200,NT,0,0,0,90.73,6101.5925
2018,Arlington,3,Full-,114,23,1,30,200,Amodel,0,0,0,78.44,5275.09
2018,Arlington,3,Full-,115,24,1,30,200,AR1R3,0,0,0,83.97,5646.9825
2018,Arlington,3,Full-,116,20,1,30,170,Amodel,0,0,0,92.48,6219.28
2018,Arlington,3,Full-,117,19,1,30,170,NT,0,0,0,89.37,6010.1325
2018,Arlington,3,Full-,118,21,1,30,170,AR1R3,0,0,0,91.56,6157.41
2018,Arlington,3,Full-,119,14,1,30,110,Amodel,0,0,0,65.06,4375.285
2018,Arlington,3,Full-,120,15,1,30,110,AR1R3,0,0,0,60.3,4055.175
2018,Arlington,3,Full-,121,13,1,30,110,NT,0,0,0,55.91,3759.9475
2018,Arlington,3,Full-,122,16,1,30,140,NT,0,0,0,61.99,4168.8275
2018,Arlington,3,Full-,123,17,1,30,140,Amodel,0,0,0,67.98,4571.655
2018,Arlington,3,Full-,124,18,1,30,140,AR1R3,0,0,0,69.97,4705.4825
2018,Arlington,3,Full-,201,17,2,30,140,Amodel,0,0,0,82.62,5556.195
2018,Arlington,3,Full-,202,16,2,30,140,NT,0,0,0,81.95,5511.1375
2018,Arlington,3,Full-,203,18,2,30,140,AR1R3,0,0,0,81.16,5458.01
2018,Arlington,3,Full-,204,24,2,30,200,AR1R3,0,0,0,82.8,5568.3
2018,Arlington,3,Full-,205,23,2,30,200,Amodel,0,0,0,93.43,6283.1675
2018,Arlington,3,Full-,206,22,2,30,200,NT,0,0,0,82.82,5569.645
2018,Arlington,3,Full-,207,14,2,30,110,Amodel,0,0,0,80.72,5428.42
2018,Arlington,3,Full-,208,13,2,30,110,NT,0,0,0,60.81,4089.4725
2018,Arlington,3,Full-,209,15,2,30,110,AR1R3,0,0,0,62.79,4222.6275
2018,Arlington,3,Full-,210,20,2,30,170,Amodel,0,0,0,69.61,4681.2725
2018,Arlington,3,Full-,211,19,2,30,170,NT,0,0,0,74.02,4977.845
2018,Arlington,3,Full-,212,21,2,30,170,AR1R3,0,0,0,77.19,5191.0275
2018,Arlington,3,Full-,213,11,2,15,200,Amodel,0,0,0,99.83,6713.5675
2018,Arlington,3,Full-,214,10,2,15,200,NT,0,0,0,98.62,6632.195
2018,Arlington,3,Full-,215,12,2,15,200,AR1R3,0,0,0,98.14,6599.915
2018,Arlington,3,Full-,216,7,2,15,170,NT,0,0,0,93.51,6288.5475
2018,Arlington,3,Full-,217,8,2,15,170,Amodel,0,0,0,103.04,6929.44
2018,Arlington,3,Full-,218,9,2,15,170,AR1R3,0,0,0,89.9,6045.775
2018,Arlington,3,Full-,219,2,2,15,110,Amodel,0,0,0,92.39,6213.2275
2018,Arlington,3,Full-,220,1,2,15,110,NT,0,0,0,70.95,4771.3875
2018,Arlington,3,Full-,221,3,2,15,110,AR1R3,0,0,0,81.44,5476.84
2018,Arlington,3,Full-,222,4,2,15,140,NT,0,0,0,67.27,4523.9075
2018,Arlington,3,Full-,223,5,2,15,140,Amodel,0,0,0,87.34,5873.615
2018,Arlington,3,Full-,224,6,2,15,140,AR1R3,0,0,0,83.08,5587.13
2018,Arlington,3,Full-,301,10,3,15,200,NT,0,0,0,89.99,6051.8275
2018,Arlington,3,Full-,302,12,3,15,200,AR1R3,0,0,0,90.77,6104.2825
2018,Arlington,3,Full-,303,11,3,15,200,Amodel,0,0,0,83.35,5605.2875
2018,Arlington,3,Full-,304,5,3,15,140,Amodel,0,0,0,78.34,5268.365
2018,Arlington,3,Full-,305,4,3,15,140,NT,0,0,0,84.26,5666.485
2018,Arlington,3,Full-,306,6,3,15,140,AR1R3,0,0,0,88.39,5944.2275
2018,Arlington,3,Full-,307,7,3,15,170,NT,0,0,0,76.91,5172.1975
